system	micro-p	micro-p-left	micro-p-right	micro-r	micro-r-left	micro-r-right	micro-f1	micro-f1-left	micro-f1-right	macro-p	macro-p-left	macro-p-right	macro-r	macro-r-left	macro-r-right	macro-f1	macro-f1-left	macro-f1-right
KB_UMass_IESL2	0.23149054327	0.167462829777	0.319660633484	0.221343303689	0.188900450611	0.256002439024	0.224422627646	0.187558010332	0.266120079947	0.228931499796	0.18878792808	0.269874719243	0.237625378088	0.197220728151	0.279631796135	0.20778869131	0.171457870484	0.245776457265
SF_ZJU_DCD_SF2	0.13684735464	0.104276756797	0.171517466018	0.0573989588572	0.0415859227029	0.0758356561047	0.0807102042626	0.0602856574468	0.103513348543	0.111339495268	0.0801748159832	0.144321766562	0.0844109894041	0.0592498850426	0.112545269968	0.0827874508219	0.0586235723617	0.108857283971
SF_BUPT_PRIS5	0.154865952664	0.127731092437	0.182380216383	0.108181746479	0.0833333333333	0.13676524295	0.12708259339	0.102564102564	0.153265405172	0.112710030795	0.0863561852186	0.140146368484	0.153981700636	0.120043010338	0.190785663036	0.114207124332	0.0890634090075	0.140794314159
KB_NYU2	0.540233144287	0.47700928382	0.604434233434	0.192028088598	0.155111102291	0.229923290594	0.282775046459	0.238895717199	0.325191433418	0.242969450453	0.201066859446	0.286672675379	0.213283346519	0.174437955661	0.254964846935	0.208185348816	0.171399519043	0.247793497358
SF_CIS5	0.192178272036	0.158492481241	0.230297988849	0.259421534861	0.209566630027	0.313284175039	0.21997414282	0.188578524884	0.255274790794	0.268892520019	0.228328459502	0.311025250441	0.329216027766	0.284274785366	0.37568471171	0.262413893261	0.224406563327	0.301590513344
SF_IITD_20151	0.551297812489	0.423504556752	0.695652173913	0.0396554542939	0.0249427808507	0.0568604499656	0.0737763763021	0.0475663949073	0.10376422772	0.0793747033198	0.0523133543638	0.108346477392	0.0643440989662	0.040454912464	0.0900161654854	0.0648307811326	0.0416652270793	0.0895504105954
SF_StaRAI20153	0.0969570399438	0.0419047619048	0.178086658725	0.0328284766034	0.0185599069906	0.0501193317422	0.0477607932093	0.0275613149691	0.0714881877432	0.0387594268911	0.0205845880373	0.0590570309044	0.0571618033649	0.0337769453207	0.0822818086225	0.0379156241888	0.0209932341778	0.0563249836897
SF_BUPT_PRIS3	0.277109299128	0.241211812579	0.315252397871	0.215336746934	0.176695319962	0.2578315352	0.241865365353	0.209071327056	0.277241085889	0.234517721196	0.197361244828	0.272895363049	0.287296079072	0.243316498415	0.333200404315	0.230379735695	0.19421455786	0.267417918932
KB_UFV1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SF_CMUML3	0.514770180675	0.230769230769	0.833333333333	0.00788878378789	0.0024388760311	0.0144552136592	0.0155086914158	0.0048366133338	0.028209883308	0.0188451104101	0.00630914826498	0.0347003154574	0.0111307796305	0.00247859396124	0.022535488959	0.0120452155626	0.00315457413249	0.0228706624606
