system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_UGENT_IBCN1	0.345985401459854	0.265695067264574	0.300570703868104	0.3457668274869003	0.3277956175323866	0.3085896821847198	0.345985401459854	0.265695067264574	0.300570703868104	0.3457668274869003	0.3277956175323866	0.3085896821847198	0.15328467153284672	0.12013729977116705	0.13470173187940987	0.17827553900524173	0.1719615424850867	0.15999488829971972
SF_ZJU_DCD_SF1	0.12641083521444696	0.06278026905829596	0.08389513108614231	0.08810900806168939	0.08724557571581473	0.06966992008772348	0.05191873589164785	0.02593010146561443	0.03458646616541353	0.038906414300736096	0.04692804566621603	0.03568924941164685	0.01805869074492099	0.00903954802259887	0.012048192771084336	0.008885383806519447	0.018401682439537322	0.010154724350307946
SF_IITD_20151	0.546875	0.03923766816143498	0.07322175732217573	0.07931500675980173	0.0643283898015759	0.06480396575033799	0.171875	0.01233183856502242	0.02301255230125523	0.021819137749737094	0.018664563617245	0.019015071854188582	0.171875	0.01233183856502242	0.02301255230125523	0.021819137749737094	0.018664563617245	0.019015071854188582
KB_BBN1	0.4868421052631579	0.37331838565022424	0.4225888324873096	0.3851236384048821	0.3669141579089717	0.3460237375668065	0.4868421052631579	0.37331838565022424	0.4225888324873096	0.3851236384048821	0.3669141579089717	0.3460237375668065	0.11988304093567251	0.0970414201183432	0.10725964682799215	0.11068530228224112	0.11068911408836005	0.10526678380512129
SF_UWashington2	0.6172839506172839	0.05605381165919283	0.10277492291880781	0.1119873817034701	0.07117771277402007	0.0774357651686383	0.6172839506172839	0.05605381165919283	0.10277492291880781	0.1119873817034701	0.07117771277402007	0.0774357651686383	0.345679012345679	0.031638418079096044	0.05797101449275362	0.06309148264984232	0.04500901306894998	0.04686006247520442
SF_BUPT_PRIS1	0.2768115942028985	0.2141255605381166	0.24146649810366624	0.2346560467222927	0.28751587438398285	0.23052832060554396	0.27391304347826084	0.21188340807174888	0.23893805309734514	0.22834689845730852	0.2827840131852446	0.22527069705139036	0.013043478260869565	0.010344827586206896	0.011538461538461537	0.007811326423313809	0.013011173894454655	0.008495406574827613
SF_CIS3	0.2916666666666667	0.2982062780269058	0.29490022172949004	0.31928409390096574	0.3768629482629001	0.3127818508886505	0.2225877192982456	0.23094425483503983	0.2266890005583473	0.2599011058703739	0.31083566317461403	0.26038914535203367	0.03837719298245614	0.04142011834319527	0.03984063745019921	0.04210300316690872	0.054717465324720896	0.04329942560439046
KB_NYU1	0.42685851318944845	0.19955156950672645	0.2719633307868602	0.24611522835219277	0.2263995613656474	0.2106302016278479	0.42685851318944845	0.19955156950672645	0.2719633307868602	0.24611522835219277	0.2263995613656474	0.2106302016278479	0.05275779376498801	0.02491506228765572	0.033846153846153845	0.042012167643082465	0.033393420459666506	0.03407602562176692
SF_StaRAI20151	0.09226190476190477	0.034753363228699555	0.05048859934853421	0.043380079497233874	0.06348580441640375	0.04313595475903405	0.08333333333333333	0.03139013452914798	0.04560260586319219	0.033916357099757495	0.05402208201892749	0.03367223236155765	0.002976190476190476	0.0011273957158962795	0.0016353229762878167	0.0003505082369435678	0.0031545741324921117	0.0006309148264984227
SF_CIS2	0.3007518796992481	0.26905829596412556	0.28402366863905326	0.3096343034680856	0.3567724506445927	0.2991079301113741	0.3007518796992481	0.26905829596412556	0.28402366863905326	0.3096343034680856	0.3567724506445927	0.2991079301113741	0.040100250626566414	0.0378698224852071	0.038953134510042606	0.04205100892798053	0.05496720244354312	0.044059517533260324
SF_UWashington3	0.5304347826086957	0.06838565022421525	0.1211519364448858	0.0738539063460199	0.05861562539676332	0.061090509391109826	0.5043478260869565	0.06502242152466367	0.11519364448857992	0.06936102803610686	0.05658216216920105	0.058312140580381165	0.043478260869565216	0.005649717514124294	0.009999999999999998	0.0050186406653283605	0.004554305949509144	0.00460419808135286
SF_UWashington1	0.4684014869888476	0.1412556053811659	0.21705426356589147	0.17721219962494006	0.15173891066492703	0.15179149660518265	0.4684014869888476	0.1412556053811659	0.21705426356589147	0.17721219962494006	0.15173891066492703	0.15179149660518265	0.14869888475836432	0.04519774011299435	0.06932409012131716	0.06826309439009146	0.06107231475458416	0.05937176295820937
KB_Stanford2	0.3710462287104623	0.3419282511210762	0.3558926487747958	0.3331623696395694	0.36648937207110044	0.3233893641470335	0.2846715328467153	0.26292134831460673	0.2733644859813084	0.2657388299887345	0.29904301897323754	0.2611081273262627	0.16423357664233576	0.15428571428571428	0.15910430170889805	0.15803282183408376	0.178108688924581	0.15387660548045745
SF_Stanford2	0.5895765472312704	0.20291479820627803	0.30191826522101756	0.3048958489810222	0.24149221216614805	0.2457398532062679	0.5830618892508144	0.2006726457399103	0.29858215179316094	0.3009526313154071	0.23805085856706604	0.24216466918944365	0.4201954397394137	0.14742857142857144	0.21827411167512695	0.2249749636973611	0.1815743061748571	0.18314710301418113
SF_StaRAI20155	0.08284023668639054	0.01569506726457399	0.02639019792648445	0.02410995944118973	0.0314143007360673	0.025220415756693378	0.08284023668639054	0.01569506726457399	0.02639019792648445	0.02410995944118973	0.0314143007360673	0.025220415756693378	0.0	0.0	0.0	0.0	0.0	0.0
KB_ICTCAS_OKN3	0.4666666666666667	0.023542600896860985	0.044823906083244394	0.0487644584647739	0.03451032141835047	0.0335748373603263	0.24444444444444444	0.01233183856502242	0.023479188900747065	0.027865404837013677	0.01748535376295627	0.019328025637173913	0.022222222222222223	0.0011210762331838565	0.0021344717182497333	0.0031545741324921117	0.0010515247108307058	0.0015772870662460559
SF_BUPT_PRIS2	0.15372168284789645	0.10650224215246637	0.12582781456953643	0.11215262130088625	0.15114795032518516	0.1131899609503577	0.15372168284789645	0.10650224215246637	0.12582781456953643	0.11215262130088625	0.15114795032518516	0.1131899609503577	0.0016181229773462784	0.0011494252873563218	0.0013440860215053765	0.0006309148264984224	0.003154574132492111	0.0010515247108307051
KB_UMass_IESL2	0.2256586483390607	0.22085201793721973	0.22322946175637395	0.22900671534480027	0.2372818719856668	0.20774504413817874	0.21878579610538373	0.2141255605381166	0.21643059490084987	0.21765024846782868	0.23069732439165547	0.1999654482160703	0.029782359679266894	0.029748283752860413	0.029765311963365768	0.020521787060768574	0.02125770151761099	0.015250105823085605
SF_UMass_IESL3	0.20118343195266272	0.22869955156950672	0.2140608604407135	0.21024437838070087	0.26016277058049553	0.20345206397377655	0.1883629191321499	0.21460674157303372	0.20063025210084037	0.20104563534499967	0.251074278581138	0.1956800280675784	0.03648915187376726	0.04233409610983982	0.039194915254237295	0.04049224252509887	0.053555740195432966	0.040085915367343426
SF_Stanford4	0.5958904109589042	0.19506726457399104	0.2939189189189189	0.30000625907565953	0.23690461931426735	0.24128313859784697	0.5958904109589042	0.19506726457399104	0.2939189189189189	0.30000625907565953	0.23690461931426735	0.24128313859784697	0.4246575342465753	0.1417142857142857	0.21251071122536416	0.22350282910219818	0.18042806692205818	0.1821153546067513
SF_UGENT_IBCN2	0.345985401459854	0.265695067264574	0.300570703868104	0.3457668274869003	0.3277956175323866	0.3085896821847198	0.345985401459854	0.265695067264574	0.300570703868104	0.3457668274869003	0.3277956175323866	0.3085896821847198	0.15328467153284672	0.12013729977116705	0.13470173187940987	0.17827553900524173	0.1719615424850867	0.15999488829971972
SF_CIS1	0.47619047619047616	0.13452914798206278	0.20979020979020976	0.23874839671369644	0.21122851467022336	0.20162265004536287	0.47619047619047616	0.13452914798206278	0.20979020979020976	0.23874839671369644	0.21122851467022336	0.20162265004536287	0.06349206349206349	0.01893491124260355	0.02917046490428441	0.030156226528466265	0.02471083070452155	0.024803578825660866
SF_StaRAI20154	0.07657657657657657	0.01905829596412556	0.030520646319569116	0.025475838567321194	0.03496319663512096	0.02695954588699068	0.06756756756756757	0.016835016835016835	0.026954177897574122	0.02397366040899166	0.03304791948325073	0.02574232637324122	0.0	0.0	0.0	0.0	0.0	0.0
SF_BUPT_PRIS4	0.15372168284789645	0.10650224215246637	0.12582781456953643	0.11215262130088625	0.15114795032518516	0.1131899609503577	0.15372168284789645	0.10650224215246637	0.12582781456953643	0.11215262130088625	0.15114795032518516	0.1131899609503577	0.0016181229773462784	0.0011494252873563218	0.0013440860215053765	0.0006309148264984224	0.003154574132492111	0.0010515247108307051
KB_SAFT_ISI1	0.3973509933774834	0.06726457399103139	0.11505273250239692	0.09528027177869447	0.08885450233566768	0.0824857062933028	0.10596026490066225	0.017957351290684626	0.03071017274472169	0.027336946264391062	0.0193721685918266	0.02001210578868773	0.10596026490066225	0.017957351290684626	0.03071017274472169	0.027336946264391062	0.0193721685918266	0.02001210578868773
KB_NYU3	0.5699300699300699	0.1827354260089686	0.27674023769100164	0.2359896850433129	0.20137653332257832	0.20194026861751377	0.5629370629370629	0.1804932735426009	0.27334465195246177	0.22968053677832875	0.19506738505759413	0.1956311203525296	0.05944055944055944	0.01925254813137033	0.0290846877673225	0.03199639477242001	0.02490611386510439	0.024515162370051954
SF_CMUML1	0.5882352941176471	0.011210762331838564	0.022002200220022	0.025236593059936887	0.012942630450516893	0.015820054463587595	0.5882352941176471	0.011210762331838564	0.022002200220022	0.025236593059936887	0.012942630450516893	0.015820054463587595	0.17647058823529413	0.003367003367003367	0.0066079295154185015	0.006309148264984222	0.0019528316058284513	0.002979320014020329
KB_BBN5	0.4917293233082707	0.3665919282511211	0.42003853564547206	0.37509399961375695	0.35241388953855124	0.33482656171873676	0.43909774436090226	0.3277216610549944	0.37532133676092544	0.3293356498686069	0.31136575175748554	0.2944520869565595	0.13082706766917293	0.10295857988165681	0.1152317880794702	0.11841640322339306	0.11559336133333978	0.11040851994986407
KB_NYU2	0.5394321766561514	0.19170403587443946	0.2828784119106699	0.24278578939462217	0.21331270440701444	0.20815808828378116	0.5394321766561514	0.19170403587443946	0.2828784119106699	0.24278578939462217	0.21331270440701444	0.20815808828378116	0.06309148264984227	0.022650056625141562	0.03333333333333333	0.037210204796955554	0.03200390566321165	0.030738276795059135
SF_UTAustin1	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.26556131390516263	0.20680966112650792	0.2124234743205161	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.26556131390516263	0.20680966112650792	0.2124234743205161	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.26556131390516263	0.20680966112650792	0.2124234743205161
SF_MSIIPL_THU1	0.2564102564102564	0.10089686098654709	0.14481094127111827	0.1119520765002302	0.12816385459537694	0.10354846438730768	0.23931623931623933	0.09427609427609428	0.1352657004830918	0.10764583244635205	0.12487092194830182	0.1005880907644734	0.13105413105413105	0.0518018018018018	0.07425343018563357	0.06535362639463584	0.07322829641441626	0.062354352248483645
SF_UWashington4	0.4056603773584906	0.04820627802690583	0.08617234468937876	0.06248685594111461	0.05509249724317451	0.05616562197003838	0.27358490566037735	0.032511210762331835	0.05811623246492986	0.03882754994742381	0.035310476208602	0.03516080134376663	0.09433962264150944	0.011299435028248588	0.020181634712411703	0.0128286014721346	0.012765625541650772	0.012671100368261252
SF_UGENT_IBCN4	0.27801268498942916	0.2948430493273543	0.28618063112078346	0.33214064905352636	0.3318692707423774	0.3013499788826898	0.25898520084566595	0.2765237020316027	0.26746724890829693	0.3294992387775605	0.32952077107446515	0.299008393493607	0.12050739957716702	0.13043478260869565	0.12527472527472527	0.17187598313917482	0.17361738530777376	0.15603068142848245
KB_hltcoe2	0.4703476482617587	0.257847533632287	0.333091962346126	0.2573789983424988	0.2427134632609845	0.23391885219131053	0.4621676891615542	0.2533632286995516	0.3272990586531499	0.24949256301126854	0.23585465435170241	0.22679477227543235	0.1165644171779141	0.06462585034013606	0.08315098468271334	0.07074142444104975	0.06845465682065362	0.06477073863411059
SF_Stanford1	0.5280172413793104	0.27466367713004486	0.3613569321533923	0.3368315969951729	0.3057610929680984	0.2944431395824442	0.5237068965517241	0.27242152466367714	0.3584070796460177	0.33353986746561576	0.30240935795232543	0.2911267924175166	0.4202586206896552	0.22285714285714286	0.2912621359223301	0.26473808256629916	0.25068134601180725	0.23760554673513506
SF_CIS4	0.29570552147239265	0.2701793721973094	0.2823667252489748	0.31130235150837354	0.3599270247770849	0.30095913317833817	0.294478527607362	0.26905829596412556	0.2811950790861161	0.30972506444212716	0.3567724506445927	0.2988560837566767	0.0392638036809816	0.0378698224852071	0.03855421686746988	0.04177079492536907	0.05496720244354312	0.043713838432952276
KB_hltcoe1	0.48423423423423423	0.24103139013452915	0.3218562874251497	0.26250093546901854	0.2457598417044926	0.23561184249207393	0.481981981981982	0.2399103139013453	0.3203592814371258	0.26187002064252046	0.24530918825699374	0.23508608013665863	0.12837837837837837	0.06462585034013606	0.08597285067873303	0.06438610338220653	0.060449765794858036	0.05636987009842357
KB_UMass_IESL4	0.2646566164154104	0.17713004484304934	0.2122229684351914	0.21212629289024854	0.21585548647039635	0.19182183669330763	0.2646566164154104	0.17713004484304934	0.2122229684351914	0.21212629289024854	0.21585548647039635	0.19182183669330763	0.038525963149078725	0.02631578947368421	0.03127124405166554	0.019504092858228073	0.020275570906485726	0.01631918317414985
KB_NYU5	0.5411392405063291	0.19170403587443946	0.2831125827814569	0.2433115517500375	0.21331270440701444	0.2086838506391964	0.5411392405063291	0.19170403587443946	0.2831125827814569	0.2433115517500375	0.21331270440701444	0.2086838506391964	0.06329113924050633	0.022650056625141562	0.03336113427856547	0.03773596715237091	0.03200390566321165	0.03126403915047449
SF_BUPT_PRIS3	0.2768115942028985	0.2141255605381166	0.24146649810366624	0.2346560467222927	0.28751587438398285	0.23052832060554396	0.27391304347826084	0.21188340807174888	0.23893805309734514	0.22834689845730852	0.2827840131852446	0.22527069705139036	0.013043478260869565	0.010344827586206896	0.011538461538461537	0.007811326423313809	0.013011173894454655	0.008495406574827613
KB_ICTCAS_OKN1	0.4074074074074074	0.01233183856502242	0.023939064200217627	0.02839116719242903	0.014781433077963032	0.018451755044814996	0.37037037037037035	0.011210762331838564	0.02176278563656148	0.026813880126182982	0.014330779630464167	0.017750738570927852	0.037037037037037035	0.0011210762331838565	0.0021762785636561476	0.0031545741324921117	0.0010515247108307058	0.0015772870662460559
KB_hltcoe3	0.4750542299349241	0.24551569506726456	0.3237250554323725	0.27789814779052097	0.2576133929902205	0.24924466525057437	0.47288503253796094	0.24439461883408073	0.3222468588322247	0.27474357365802915	0.25445881885772864	0.24609009111808228	0.1301518438177874	0.06802721088435375	0.08935219657483247	0.0676443505678985	0.06483510180479982	0.060359426152471446
SF_CMUML3	0.5	0.007847533632286996	0.01545253863134658	0.018927444794952664	0.011153672825597113	0.012092534174553119	0.42857142857142855	0.006726457399103139	0.013245033112582781	0.015772870662460588	0.010703019378098236	0.011303890641430095	0.0	0.0	0.0	0.0	0.0	0.0
SF_ZJU_DCD_SF2	0.13709677419354838	0.05717488789237668	0.08069620253164556	0.11156677181913771	0.08465807660927341	0.08295956409521082	0.06182795698924731	0.025842696629213482	0.03645007923930269	0.053364879074658235	0.04613940213309301	0.04394872565219569	0.021505376344086023	0.00903954802259887	0.012728719172633254	0.020767613038906417	0.015247108307045218	0.0167342646837915
SF_MSIIPL_THU5	0.1069182389937107	0.01905829596412556	0.03235014272121788	0.03719768664563616	0.03291408906550864	0.029825747333633763	0.006289308176100629	0.001122334455667789	0.001904761904761905	0.0015772870662460559	0.0010515247108307051	0.0012618296529968453	0.0	0.0	0.0	0.0	0.0	0.0
SF_UGENT_IBCN3	0.3251366120218579	0.26681614349775784	0.29310344827586204	0.33527880867080606	0.3282462709798853	0.30163558817683234	0.3251366120218579	0.26681614349775784	0.29310344827586204	0.33527880867080606	0.3282462709798853	0.30163558817683234	0.1448087431693989	0.12128146453089245	0.13200498132004979	0.17321868383797645	0.1724121959325855	0.15629715912880462
KB_NYU4	0.4258373205741627	0.19955156950672645	0.2717557251908397	0.24611522835219277	0.2263995613656474	0.2106302016278479	0.4258373205741627	0.19955156950672645	0.2717557251908397	0.24611522835219277	0.2263995613656474	0.2106302016278479	0.05263157894736842	0.02491506228765572	0.033820138355111454	0.042012167643082465	0.033393420459666506	0.03407602562176692
KB_ICTCAS_OKN4	0.6666666666666666	0.004484304932735426	0.008908685968819599	0.011041009463722403	0.005708277001652396	0.006046267087276552	0.6666666666666666	0.004484304932735426	0.008908685968819599	0.011041009463722403	0.005708277001652396	0.006046267087276552	0.16666666666666666	0.0011210762331838565	0.0022271714922048997	0.0031545741324921117	0.0010515247108307058	0.0015772870662460559
SF_CMUML2	0.47619047619047616	0.011210762331838564	0.02190580503833516	0.023133543638275512	0.012942630450516893	0.014733864102949284	0.47619047619047616	0.011210762331838564	0.02190580503833516	0.023133543638275512	0.012942630450516893	0.014733864102949284	0.14285714285714285	0.003367003367003367	0.006578947368421052	0.006309148264984222	0.0019528316058284513	0.002979320014020329
KB_UFV1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SF_StaRAI20153	0.08630952380952381	0.032511210762331835	0.04723127035830618	0.03864821829849572	0.057176656151419585	0.03787833120488048	0.08630952380952381	0.032511210762331835	0.04723127035830618	0.03864821829849572	0.057176656151419585	0.03787833120488048	0.002976190476190476	0.0011273957158962795	0.0016353229762878167	0.0003505082369435678	0.0031545741324921117	0.0006309148264984227
KB_BBN4	0.3858751279426817	0.4226457399103139	0.40342429106474054	0.37771997739335733	0.38413359111125506	0.35204106010740704	0.3285568065506653	0.36477272727272725	0.345718901453958	0.3495199043711675	0.3541531949792944	0.323671459173899	0.09723643807574207	0.11242603550295859	0.10428100987925357	0.10349432891806853	0.11057457276892531	0.10067089421099923
SF_Stanford3	0.4005037783375315	0.35650224215246634	0.37722419928825623	0.3720090455637282	0.3827658362815264	0.35442576803222325	0.33123425692695213	0.2948430493273543	0.3119810201660736	0.29368181395715537	0.30785318482686924	0.2798472188100826	0.23551637279596976	0.21371428571428572	0.22408627920910726	0.21092470560966317	0.22746279274593534	0.20386665889483457
SF_UMass_IESL4	0.3432203389830508	0.18161434977578475	0.23753665689149558	0.24238720445345038	0.2396886992395876	0.21499782960138955	0.3072033898305085	0.16292134831460675	0.2129221732745962	0.21788531307458744	0.21522675214357112	0.1924493661405168	0.059322033898305086	0.032036613272311214	0.041604754829123326	0.04226890354650604	0.04438748971049064	0.03631352662369755
SF_MSIIPL_THU2	0.25796178343949044	0.09080717488789238	0.13432835820895522	0.10894433291909632	0.12119058546039456	0.09907015446271826	0.25477707006369427	0.08968609865470852	0.13266998341625205	0.10578975878660428	0.12013906074956361	0.09749286739647225	0.1337579617834395	0.0472972972972973	0.06988352745424294	0.06098979884468843	0.06849643521567808	0.057915415790619665
SF_UMass_IESL5	0.3093145869947276	0.19730941704035873	0.2409308692676249	0.22858954461756484	0.23338308164940857	0.2054701618002104	0.30404217926186294	0.19394618834080718	0.23682409308692678	0.22175463399716508	0.22602240867359397	0.19845999706133888	0.0492091388400703	0.032036613272311214	0.038808038808038806	0.02937550223224745	0.037758971244089876	0.02972902826821386
KB_hltcoe4	0.4691848906560636	0.2645739910313901	0.33835125448028674	0.26393233481094863	0.25114913248135395	0.24028654404656538	0.46520874751491054	0.2623318385650224	0.33548387096774196	0.26172413291820423	0.24964695432302425	0.2384989520381531	0.11928429423459244	0.06802721088435375	0.08664259927797835	0.07010444064917488	0.06945772417153814	0.06474869627679056
KB_Stanford1	0.5964912280701754	0.1905829596412556	0.2888700084961767	0.2942566721746534	0.23948461030119808	0.24254417202182102	0.5719298245614035	0.1827354260089686	0.2769753610875106	0.2835536527965548	0.23163869424923872	0.23378416231543903	0.2736842105263158	0.08914285714285715	0.13448275862068967	0.13911046016724252	0.11543893435447622	0.11340337479681926
KB_ICTCAS_OKN2	1.0	0.0033632286995515697	0.00670391061452514	0.009463722397476332	0.004656752290821688	0.005520504731861202	0.6666666666666666	0.002242152466367713	0.004469273743016759	0.0063091482649842235	0.0042060988433228206	0.004731861198738166	0.0	0.0	0.0	0.0	0.0	0.0
SF_MSIIPL_THU4	0.057803468208092484	0.011210762331838564	0.018779342723004695	0.019190325972660377	0.015487456812377962	0.015389815232086523	0.005780346820809248	0.0011210762331838565	0.0018779342723004694	0.0010515247108307051	0.0010515247108307051	0.0010515247108307051	0.0	0.0	0.0	0.0	0.0	0.0
KB_UMass_IESL1	0.27153284671532846	0.2085201793721973	0.23589093214965123	0.23362954374389705	0.22852258010334656	0.2071590842789572	0.27153284671532846	0.2085201793721973	0.23589093214965123	0.23362954374389705	0.22852258010334656	0.2071590842789572	0.033576642335766425	0.02631578947368421	0.029506093649775498	0.025781064799203595	0.02335707427944433	0.019996995905368707
