system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto	micro-nd-p	micro-nd-r	micro-nd-f1	macro-nd-p	macro-nd-r	macro-nd-f1	micro-nd-p-loo	micro-nd-r-loo	micro-nd-f1-loo	macro-nd-p-loo	macro-nd-r-loo	macro-nd-f1-loo	micro-nd-p-lto	micro-nd-r-lto	micro-nd-f1-lto	macro-nd-p-lto	macro-nd-r-lto	macro-nd-f1-lto
KB_UMass_IESL4	0.2646566164154104	0.17713004484304934	0.2122229684351914	0.2121262928902485	0.2158554864703967	0.19182183669330766	0.2646566164154104	0.17713004484304934	0.2122229684351914	0.2121262928902485	0.2158554864703967	0.19182183669330766	0.03685092127303183	0.02517162471395881	0.02991162474507138	0.019109771091666575	0.019224046195655032	0.015745624240969473	0.26791808873720135	0.17600896860986548	0.2124492557510149	0.22036672124108697	0.21230420074245462	0.19400686134424044	0.26791808873720135	0.17600896860986548	0.2124492557510149	0.22036672124108697	0.21230420074245462	0.19400686134424044	0.23208191126279865	0.15507411630558723	0.18591934381408068	0.19290855177221924	0.1831139838079901	0.16815534985408329
KB_BBN1	0.4868421052631579	0.37331838565022424	0.4225888324873096	0.3851236384048825	0.3669141579089721	0.3460237375668064	0.4868421052631579	0.37331838565022424	0.4225888324873096	0.3851236384048825	0.3669141579089721	0.3460237375668064	0.1154970760233918	0.0937129300118624	0.10347085789129011	0.11041141376458011	0.11037559006013263	0.10497354616706624	0.48159057437407954	0.3665919282511211	0.4162953532781668	0.3791266051110499	0.35793690124777605	0.3390619324635961	0.48159057437407954	0.3665919282511211	0.4162953532781668	0.3791266051110499	0.35793690124777605	0.3390619324635961	0.40942562592047127	0.32860520094562645	0.36459016393442617	0.34446203863015556	0.3332128842752336	0.311848175837657
SF_UWashington3	0.5304347826086957	0.06838565022421525	0.1211519364448858	0.07385390634601995	0.05861562539676333	0.061090509391109805	0.5043478260869565	0.06502242152466367	0.11519364448857992	0.06936102803610694	0.05658216216920111	0.05831214058038111	0.034782608695652174	0.004519774011299435	0.008	0.004731861198738169	0.004492451554754396	0.004502437625466015	0.5454545454545454	0.06726457399103139	0.11976047904191617	0.07969737938192195	0.05923823871238684	0.06440281223022654	0.5363636363636364	0.06614349775784753	0.11776447105788422	0.07654280524942994	0.057660951646140796	0.062299762808565105	0.4	0.04971751412429379	0.08844221105527637	0.060093954415720977	0.04134401273248927	0.04639137479032367
SF_BUPT_PRIS1	0.2768115942028985	0.2141255605381166	0.24146649810366624	0.23465604672229273	0.28751587438398296	0.23052832060554396	0.27391304347826084	0.21188340807174888	0.23893805309734514	0.2283468984573084	0.2827840131852447	0.22527069705139047	0.013043478260869565	0.010344827586206896	0.011538461538461537	0.0078113264233138	0.01301117389445466	0.008495406574827617	0.28699551569506726	0.21524663677130046	0.24599615631005767	0.24491785816706968	0.2970959646775882	0.24107066424005602	0.28550074738415543	0.2141255605381166	0.2447149263292761	0.24176328403457756	0.29394139054509594	0.237916090107564	0.24813153961136025	0.19080459770114944	0.2157244964262508	0.20188045393092724	0.26379005747578166	0.20414910350146065
SF_UMass_IESL1	0.31596091205211724	0.21748878923766815	0.25763612217795484	0.23632083803497797	0.248368674395254	0.21737682025002195	0.3127035830618892	0.21524663677130046	0.25498007968127495	0.23523926976098042	0.2466862348579247	0.21606241436148327	0.04560260586319218	0.032036613272311214	0.03763440860215054	0.034279000879947244	0.038108385008673036	0.03322560632203454	0.37450980392156863	0.2141255605381166	0.2724679029957204	0.2769681762537582	0.24503560615218373	0.23858298898746275	0.37450980392156863	0.2141255605381166	0.2724679029957204	0.2769681762537582	0.24503560615218373	0.23858298898746275	0.32745098039215687	0.1904218928164196	0.24080749819754868	0.24818959416287312	0.2221636660098462	0.2158411023070325
SF_CIS5	0.19102990033222592	0.257847533632287	0.2194656488549618	0.2690560715821457	0.32945598701524537	0.2625660872769638	0.16279069767441862	0.2214689265536723	0.18764959310674967	0.25367000145370366	0.3037164260642155	0.24720921624659428	0.02408637873754153	0.03431952662721893	0.028306490971205467	0.03498592189443925	0.0510990936858445	0.036001133461701286	0.1951848667239897	0.25448430493273544	0.22092457420924572	0.28437366846422907	0.32491797641859643	0.2726346667888953	0.18486672398968185	0.24293785310734464	0.2099609375	0.28151613182985324	0.32002149484936065	0.2697286170455758	0.15993121238177127	0.21933962264150944	0.1849825957235206	0.25343060218986563	0.3000525702459953	0.24545652514474123
SF_UTAustin1	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.2655613139051627	0.2068096611265078	0.21242347432051595	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.2655613139051627	0.2068096611265078	0.21242347432051595	0.5348101265822784	0.18946188340807174	0.2798013245033113	0.2655613139051627	0.2068096611265078	0.21242347432051595	0.5222929936305732	0.18385650224215247	0.2719734660033168	0.2615630163737415	0.20347099138405253	0.20951069464024696	0.5222929936305732	0.18385650224215247	0.2719734660033168	0.2615630163737415	0.20347099138405253	0.20951069464024696	0.5222929936305732	0.18385650224215247	0.2719734660033168	0.2615630163737415	0.20347099138405253	0.20951069464024696
SF_UMass_IESL4	0.3432203389830508	0.18161434977578475	0.23753665689149558	0.2423872044534502	0.23968869923958736	0.21499782960138963	0.3050847457627119	0.16179775280898875	0.21145374449339208	0.21735955071917207	0.21498409259491763	0.1921173057055175	0.059322033898305086	0.032036613272311214	0.041604754829123326	0.04226890354650608	0.044387489710490675	0.036313526623697544	0.4134366925064599	0.17937219730941703	0.2501954652071931	0.28261307843741834	0.23931691014540085	0.2359720649982113	0.40568475452196384	0.17640449438202246	0.24588880187940487	0.28058513792367346	0.23725141517769763	0.23441615508267993	0.3669250645994832	0.1619156214367161	0.22468354430379747	0.2560462670872765	0.21989553977621437	0.21596876372686763
SF_StaRAI20152	0.07425742574257425	0.016816143497757848	0.027422303473491772	0.021889239397125834	0.018138801261829665	0.01626365222579733	0.04950495049504951	0.011210762331838564	0.018281535648994516	0.01447599018576936	0.013801261829653	0.011617299629917926	0.0	0.0	0.0	0.0	0.0	0.0	0.11510791366906475	0.017937219730941704	0.031037827352085358	0.03154574132492118	0.023396424815983172	0.024185068349106206	0.11510791366906475	0.017937219730941704	0.031037827352085358	0.03154574132492118	0.023396424815983172	0.024185068349106206	0.09352517985611511	0.014656144306651634	0.0253411306042885	0.02733964248159833	0.020872765509989486	0.02151119122727954
KB_Stanford2	0.3710462287104623	0.3419282511210762	0.3558926487747958	0.33316236963956936	0.36648937207110044	0.3233893641470335	0.2846715328467153	0.26292134831460673	0.2733644859813084	0.26573882998873466	0.2990430189732376	0.26110812732626304	0.16180048661800486	0.152	0.1567472009428403	0.15740190700758527	0.17765803547708214	0.15335084312504216	0.37530864197530867	0.34080717488789236	0.3572267920094007	0.34195462821843003	0.3682529870050625	0.3294050232438223	0.36666666666666664	0.33370786516853934	0.34941176470588237	0.3407831927949609	0.36717975899782623	0.32827771296824726	0.3395061728395062	0.3139269406392694	0.32621589561091335	0.3250097902781691	0.3526434232544267	0.31364784189005546
