run_id	p	r	f1	n_samples	delta_p	delta_r	delta_f1	p_lrange	r_lrange	f1_lrange	p_rrange	r_rrange	f1_rrange
KB_hltcoe3	0.5361635220125724	0.26311728395061723	0.35300207039337334	5450.65789474	0.0527143330023	-0.0343779321188	-0.014647619219	0.0569554783184	0.0208573990378	0.019100871653	0.033846408474	0.0249368821696	0.0231517821522
KB_hltcoe4	0.5013812154696234	0.2800925925925925	0.359405940594062	5450.65789474	0.0609396419225	-0.0281180334299	-0.00255427093996	0.0585354961991	0.0197450440855	0.0236222982572	0.0388401944087	0.0245523284951	0.0242030804049
KB_hltcoe5	0.5006839945280447	0.28240740740740705	0.36112481499753324	5450.65789474	0.0609989405799	-0.0282317680888	-0.00224835483158	0.0587001018278	0.0198091687176	0.024096863328	0.0391111156825	0.0248741085242	0.0246682311164
SF_BUPT_PRIS1	0.2838095238095298	0.22993827160493874	0.25404944586530537	5443.92753623	0.0408799171843	-0.0205323190089	0.00781752527125	0.0126915113872	0.0218248686713	0.00958981994543	0.0104037267081	0.0283707445933	0.0104988866768
SF_BUPT_PRIS2	0.15696465696465994	0.11651234567901285	0.1337466784765293	5443.92753623	0.0232569526048	-0.00985559703282	0.00402925274831	0.00792807858025	0.0133965668905	0.00671843715201	0.00454593389376	0.0171731245063	0.00698072110001
SF_BUPT_PRIS3	0.2838095238095298	0.22993827160493874	0.25404944586530537	5443.92753623	0.0408799171843	-0.0205323190089	0.00781752527125	0.0126915113872	0.0218248686713	0.00958981994543	0.0104037267081	0.0283707445933	0.0104988866768
SF_BUPT_PRIS4	0.15696465696465994	0.11651234567901285	0.1337466784765293	5443.92753623	0.0232569526048	-0.00985559703282	0.00402925274831	0.00792807858025	0.0133965668905	0.00671843715201	0.00454593389376	0.0171731245063	0.00698072110001
SF_BUPT_PRIS5	0.158004158004161	0.11728395061728442	0.13463241806908907	5443.92753623	0.0232569526048	-0.0100677661021	0.00390581731844	0.00792807858025	0.0135324459164	0.00676287867018	0.00454593389376	0.0173176874288	0.00706295733916
SF_CIS1	0.5408805031446561	0.13271604938271617	0.21313506815365582	5439.24714829	0.0457828156013	-0.0229885799326	-0.0234912164773	0.0171102661597	0.0138600328208	0.0151529964287	0.0111916206328	0.0206928263013	0.0221383230485
SF_CIS2	0.31175934366453434	0.26388888888888873	0.2858336815712471	5439.24714829	0.0465389534541	-0.0235894227162	0.0103684290869	0.0135339727081	0.020626507521	0.00891762542538	0.010987449352	0.0321576108252	0.0108243794881
SF_CIS3	0.30520504731860876	0.29861111111111105	0.3018720748829937	5439.24714829	0.051648654808	-0.0189798954813	0.0203265155041	0.0129412505547	0.0221327078617	0.00619548779815	0.00985054755251	0.032146391614	0.00724725716763
SF_CIS4	0.30928764652840235	0.2646604938271603	0.2852390852390844	5439.24714829	0.045171376947	-0.0247551460798	0.00948745916314	0.01343998464	0.0208464513406	0.00882930371612	0.01090627325	0.0321989792263	0.0108204956776
SF_CIS5	0.18298109010011487	0.25385802469135804	0.21266968325792102	5439.24714829	0.0304457424176	-0.0170256549249	0.0177819590229	0.00793023088603	0.0193164200542	0.00494807013037	0.00653028079362	0.0263330565406	0.00473755638658
SF_CMUML1	0.631578947368424	0.009259259259259299	0.018250950570342282	5521.61484099	0.105263157895	-0.00021631241524	-0.000363073810269	-1.22124532709e-15	0.00101533478787	0.0019612350384	1.22124532709e-15	0.00142836581229	0.00275121656841
SF_CMUML2	0.5714285714285737	0.009259259259259299	0.018223234624145865	5521.61484099	0.0952380952381	-0.00021631241524	-0.000356004180114	2.10942374679e-15	0.00101533478787	0.00195413489736	-2.10942374679e-15	0.00142836581229	0.00274045210677
SF_CMUML3	0.6428571428571439	0.00694444444444448	0.013740458015267245	5521.61484099	0.142857142857	0.000311544272295	0.000649362938612	-5.55111512313e-16	0.000710734351506	0.00138540945793	5.55111512313e-16	0.0009998560686	0.00194488543256
SF_IITD_20151	0.6025641025640991	0.03626543209876578	0.06841339155749696	5531.8	0.0348717948718	-0.00548281090336	-0.00933650603652	0.0164102564103	0.00415070752235	0.00720925786088	0.00923076923077	0.00509277582963	0.00874952672966
SF_MSIIPL_THU1	0.27169811320754317	0.1111111111111118	0.15772179627601318	5495.24908425	0.0331467274863	-0.00957459562718	-0.00234331250607	0.0215702536457	0.00817531249884	0.00829041062398	0.0161655954109	0.011491621387	0.00988170405147
SF_MSIIPL_THU2	0.27157894736842203	0.0995370370370377	0.14568040654997264	5495.24908425	0.0249315596684	-0.0124293128076	-0.00813332255433	0.0192789666474	0.0100070865301	0.0103891268716	0.012299980721	0.0121658102085	0.0117306226587
SF_MSIIPL_THU4	0.04135338345864637	0.008487654320987697	0.014084507042253567	5495.24908425	0.00283676223526	-0.00132214450093	-0.0015367193952	0.00468203475722	0.00151424734942	0.00222337697509	0.00283676223526	0.00180831115062	0.00251864190287
SF_MSIIPL_THU5	0.08196721311475517	0.015432098765432197	0.025974025974026167	5495.24908425	0.00809163514082	-0.00177384810761	-0.00191088127107	0.0042034468264	0.00147838899495	0.00215461764878	0.00399327448508	0.00190038342863	0.00270599892859
SF_StaRAI20151	0.08566108007448714	0.035493827160494096	0.05019094380796522	5500.84814815	0.0235464514794	0.00358984756539	0.00808894336263	0.00252431202152	0.00306231129733	0.00268848571038	0.00120008276433	0.0037934420808	0.00322704416871
SF_StaRAI20152	0.05830903790087507	0.015432098765432183	0.024405125076266156	5500.84814815	0.0134002807472	0.000691735989169	0.0022330038263	0.00409243062304	0.00178699490062	0.00218544570033	0.00173847316704	0.00206814387107	0.00248504874054
SF_StaRAI20153	0.08333333333333323	0.034722222222222474	0.04901960784313749	5500.84814815	0.0234156378601	0.00377570731066	0.00825803331679	0.00251028806584	0.00296647967961	0.00262521128096	0.00119341563786	0.00365160115171	0.00314645467073
SF_StaRAI20154	0.0739726027397264	0.02083333333333351	0.03251053582179435	5500.84814815	0.0276509386098	0.00467542857924	0.00857838335133	0.00522577371892	0.00183266805017	0.00253715857547	0.00573313039066	0.0022097319516	0.00288966794243
